"filename", "language", "C++", "Makefile", "CMake", "XML", "GLSL", "C", "comment", "blank", "total"
"d:\Projects\Coding\_computer-graphics\space-invaders\bin\shaders\default\fragment.glsl", "GLSL", 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Projects\Coding\_computer-graphics\space-invaders\bin\shaders\default\vertex.glsl", "GLSL", 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Projects\Coding\_computer-graphics\space-invaders\include\GLFW\glfw3.h", "C++", 596, 0, 0, 0, 0, 0, 5064, 248, 5908
"d:\Projects\Coding\_computer-graphics\space-invaders\include\GLFW\glfw3native.h", "C++", 83, 0, 0, 0, 0, 0, 473, 39, 595
"d:\Projects\Coding\_computer-graphics\space-invaders\include\KHR\khrplatform.h", "C++", 106, 0, 0, 0, 0, 0, 156, 29, 291
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glad\glad.h", "C++", 3575, 0, 0, 0, 0, 0, 20, 17, 3612
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\CTestTestfile.cmake", "CMake", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\RUN_TESTS.vcxproj", "XML", 0, 0, 0, 226, 0, 0, 0, 0, 226
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\cmake_install.cmake", "CMake", 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\common.hpp", "C++", 93, 0, 0, 0, 0, 0, 389, 52, 534
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\_features.hpp", "C++", 110, 0, 0, 0, 0, 0, 185, 100, 395
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\_fixes.hpp", "C++", 16, 0, 0, 0, 0, 0, 5, 7, 28
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\_noise.hpp", "C++", 67, 0, 0, 0, 0, 0, 0, 15, 82
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\_swizzle.hpp", "C++", 704, 0, 0, 0, 0, 0, 55, 46, 805
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\_swizzle_func.hpp", "C++", 648, 0, 0, 0, 0, 0, 0, 35, 683
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\_vectorize.hpp", "C++", 108, 0, 0, 0, 0, 0, 0, 16, 124
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\compute_common.hpp", "C++", 43, 0, 0, 0, 0, 0, 1, 7, 51
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\compute_vector_relational.hpp", "C++", 16, 0, 0, 0, 0, 0, 12, 3, 31
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_common.inl", "C++", 632, 0, 0, 0, 0, 0, 43, 112, 787
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_common_simd.inl", "C++", 195, 0, 0, 0, 0, 0, 14, 23, 232
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_exponential.inl", "C++", 123, 0, 0, 0, 0, 0, 9, 21, 153
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_exponential_simd.inl", "C++", 30, 0, 0, 0, 0, 0, 2, 6, 38
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_geometric.inl", "C++", 193, 0, 0, 0, 0, 0, 17, 34, 244
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_geometric_simd.inl", "C++", 85, 0, 0, 0, 0, 0, 2, 13, 100
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_integer.inl", "C++", 303, 0, 0, 0, 0, 0, 11, 49, 363
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_integer_simd.inl", "C++", 52, 0, 0, 0, 0, 0, 0, 14, 66
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_matrix.inl", "C++", 347, 0, 0, 0, 0, 0, 0, 52, 399
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_matrix_simd.inl", "C++", 84, 0, 0, 0, 0, 0, 0, 11, 95
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_packing.inl", "C++", 144, 0, 0, 0, 0, 0, 2, 44, 190
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_packing_simd.inl", "C++", 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_trigonometric.inl", "C++", 145, 0, 0, 0, 0, 0, 14, 39, 198
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_trigonometric_simd.inl", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_vector_relational.inl", "C++", 78, 0, 0, 0, 0, 0, 0, 10, 88
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\func_vector_relational_simd.inl", "C++", 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\glm.cpp", "C++", 196, 0, 0, 0, 0, 0, 17, 49, 262
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\qualifier.hpp", "C++", 179, 0, 0, 0, 0, 0, 1, 31, 211
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\setup.hpp", "C++", 816, 0, 0, 0, 0, 0, 97, 153, 1066
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_float.hpp", "C++", 51, 0, 0, 0, 0, 0, 3, 15, 69
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_half.hpp", "C++", 11, 0, 0, 0, 0, 0, 0, 6, 17
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_half.inl", "C++", 121, 0, 0, 0, 0, 0, 80, 41, 242
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat2x2.hpp", "C++", 120, 0, 0, 0, 0, 0, 11, 47, 178
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat2x2.inl", "C++", 465, 0, 0, 0, 0, 0, 9, 63, 537
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat2x3.hpp", "C++", 107, 0, 0, 0, 0, 0, 11, 42, 160
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat2x3.inl", "C++", 445, 0, 0, 0, 0, 0, 9, 57, 511
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat2x4.hpp", "C++", 109, 0, 0, 0, 0, 0, 11, 42, 162
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat2x4.inl", "C++", 455, 0, 0, 0, 0, 0, 9, 57, 521
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat3x2.hpp", "C++", 114, 0, 0, 0, 0, 0, 11, 43, 168
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat3x2.inl", "C++", 467, 0, 0, 0, 0, 0, 9, 57, 533
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat3x3.hpp", "C++", 127, 0, 0, 0, 0, 0, 11, 47, 185
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat3x3.inl", "C++", 528, 0, 0, 0, 0, 0, 9, 65, 602
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat3x4.hpp", "C++", 114, 0, 0, 0, 0, 0, 11, 42, 167
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat3x4.inl", "C++", 513, 0, 0, 0, 0, 0, 9, 57, 579
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat4x2.hpp", "C++", 119, 0, 0, 0, 0, 0, 11, 42, 172
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat4x2.inl", "C++", 509, 0, 0, 0, 0, 0, 9, 57, 575
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat4x3.hpp", "C++", 119, 0, 0, 0, 0, 0, 11, 42, 172
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat4x3.inl", "C++", 533, 0, 0, 0, 0, 0, 9, 57, 599
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat4x4.hpp", "C++", 132, 0, 0, 0, 0, 0, 11, 47, 190
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat4x4.inl", "C++", 598, 0, 0, 0, 0, 0, 36, 73, 707
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_mat4x4_simd.inl", "C++", 3, 0, 0, 0, 0, 0, 1, 3, 7
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_quat.hpp", "C++", 111, 0, 0, 0, 0, 0, 35, 45, 191
"d:\Projects\Coding\_computer-graphics\space-invaders\include\glm\detail\type_quat.inl", "C++", 292, 0, 0, 0, 0, 0, 29, 59, 380
